movieID,crewID,occupationID,characters
1,nm0169505,0,
1,nm0000158,1,Woody
1,nm0000741,1,Buzz Lightyear
1,nm0725543,1,Mr. Potato Head
1,nm0001815,1,Slinky Dog
1,nm0005124,2,
1,nm0230032,0,
1,nm0004056,0,
1,nm0710020,0,
1,nm0923736,0,
2,nm0472256,3,
2,nm0000245,1,Alan Parrish
2,nm0000379,4,Judy Shepherd
2,nm0001372,4,Sarah Whittle
2,nm0404993,1,"Van Pelt"",""Sam Parrish"
2,nm0002653,2,
2,nm0378144,0,
2,nm0852430,0,
2,nm0833164,0,
2,nm0885575,0,
3,nm0005714,5,
3,nm0000527,1,Max Goldman
3,nm0000493,1,John Gustafson
3,nm0000268,4,Ariel Gustafson
3,nm0000047,4,Maria Sophia Coletta Ragetti
3,nm0222043,2,
3,nm0425756,0,
3,nm0075828,3,
3,nm0204862,3,
3,nm0006293,6,
4,nm0004892,6,
4,nm0001365,4,Savannah
4,nm0000291,4,Bernadine
4,nm0222643,4,Gloria
4,nm0005375,4,Robin
4,nm0001845,2,
4,nm0573334,0,
4,nm0060103,0,
4,nm0771834,3,
4,nm0842470,3,
5,nm0204567,5,
5,nm0000188,1,George Banks
5,nm0000473,4,Nina Banks
5,nm0001737,1,Franck Eggelhoffer
5,nm0931090,4,Annie Banks-MacKenzie
5,nm0796124,2,
5,nm0352443,0,
5,nm0329304,0,
5,nm0583600,0,
5,nm0006293,6,
6,nm0325549,7,
6,nm0000199,1,Lt. Vincent Hanna
6,nm0000134,1,Neil McCauley
6,nm0000174,1,Chris Shiherlis
6,nm0000685,1,Nate
6,nm0000520,2,
6,nm0513165,3,
6,nm0006106,6,
6,nm0005883,5,
6,nm0117779,7,
7,nm0713128,0,
7,nm0000148,1,Linus Larrabee
7,nm0000566,4,Sabrina Fairchild
7,nm0001427,1,David Larrabee
7,nm0545408,4,Maude Larrabee
7,nm0001628,2,
7,nm0853138,0,
7,nm0000697,0,
7,nm0499626,0,
7,nm0070660,0,
8,nm0548257,3,
8,nm0001795,1,Tom Sawyer
8,nm0000605,1,Huck Finn
8,nm0734236,1,Judge Thatcher
8,nm0777760,1,Injun Joe
8,nm0382072,2,
8,nm0878494,0,
8,nm0814085,0,
8,nm0521739,0,
8,nm0049689,3,
9,nm0002201,6,
9,nm0000241,1,Darren McCord
9,nm0000959,1,Joshua Foss
9,nm0000855,1,Vice President
9,nm0942925,4,Emily McCord
9,nm0001382,2,
9,nm0049945,0,
9,nm0704164,0,
9,nm0049920,3,
9,nm0224537,3,
10,nm0110483,3,
10,nm0000112,1,James Bond
10,nm0000293,1,Alec Trevelyan
10,nm0001713,4,Natalya Simonova
10,nm0000463,4,Xenia Onatopp
10,nm0132709,2,
10,nm0001220,0,
10,nm0289833,0,
10,nm0128997,0,
10,nm0270761,0,
11,nm0453344,8,
11,nm0000140,1,Andrew Shepherd
11,nm0000906,4,Sydney Ellen Wade
11,nm0000640,1,A.J. MacInerney
11,nm0000150,1,Lewis Rothschild
11,nm0001661,2,
11,nm0815070,0,
11,nm0003299,6,
11,nm0005868,5,
11,nm0500371,7,
12,nm0918891,7,
12,nm0000558,1,Dracula
12,nm0000316,1,Professor Van Helsing
12,nm0001493,1,Renfield
12,nm0001836,1,Harker
12,nm0209918,0,
12,nm0352229,0,
12,nm0831290,0,
12,nm0006186,6,
12,nm0642672,5,
13,nm9054338,3,
13,nm0000102,1,Balto
13,nm0001364,1,Boris
13,nm0000403,4,Jenna
13,nm0191906,1,Steele
13,nm0920425,2,
13,nm0748429,0,
13,nm0504327,0,
13,nm0169325,0,
13,nm0776107,0,
14,nm0002354,6,
14,nm0000164,1,Richard M. Nixon
14,nm0000260,4,Pat Nixon
14,nm0000959,1,Alexander Haig
14,nm0000438,1,E. Howard Hunt
14,nm0000231,2,
14,nm0729151,0,
14,nm0929349,0,
14,nm0870106,3,
14,nm0883351,3,
15,nm0455207,0,
15,nm0000133,4,Morgan Adams
15,nm0000546,1,William Shaw
15,nm0001449,1,Dawg Brown
15,nm0001999,1,John Reed
15,nm0001317,2,
15,nm0065847,0,
15,nm0331079,0,
15,nm0262595,0,
15,nm0317279,0,
16,nm0274721,8,
16,nm0000134,1,Sam 'Ace' Rothstein
16,nm0000232,4,Ginger McKenna
16,nm0000582,1,Nicky Santoro
16,nm0000249,1,Lester Diamond
16,nm0000217,2,
16,nm0683380,0,
16,nm0208381,3,
16,nm0724744,5,
16,nm0774817,7,
17,nm0820163,7,
17,nm0000668,4,Elinor Dashwood
17,nm0000701,4,Marianne Dashwood
17,nm0281424,1,John Dashwood
17,nm0929489,1,Mr. Dashwood
17,nm0000487,2,
17,nm0000807,0,
17,nm0233386,3,
17,nm0236462,6,
17,nm0183533,5,
18,nm0004744,3,
18,nm0000619,1,Ted the Bellhop
18,nm0000104,1,"Man (segment \""The Misbehavers\"")"
