movieID|title|year|original_language|runtime|overview|poster_URL|box_office|budget|tmdb_popularity|imdb_rating|imdb_rating_votes
1|Toy Story|1995|en|81|Led by Woody; Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart; Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner; the duo eventually learns to put aside their differences.|https://image.tmdb.org/t/p/w1280/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg|394400000|30000000|78|8|1054602
2|Jumanji|1995|en|104|When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world; they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game; which proves risky as all three find themselves running from giant rhinoceroses; evil monkeys and other terrifying creatures.|https://image.tmdb.org/t/p/w1280/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg|262821940|65000000|13|7|371469
3|Grumpier Old Men|1995|en|101|A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile; a sultry Italian divorcée opens a restaurant at the local bait shop; alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.|https://image.tmdb.org/t/p/w1280/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg|71500000|25000000|14|6|29437
4|Waiting to Exhale|1995|en|124|Cheated on; mistreated and stepped on; the women are holding their breath; waiting for the elusive "good man" to break a string of less-than-stellar lovers. Friends and confidants Vannah; Bernie; Glo and Robin talk it all out; determined to find a better way to breathe.|https://image.tmdb.org/t/p/w1280/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg|81452156|16000000|14|6|11954
5|Father of the Bride Part II|1995|en|106|Just when George Banks has recovered from his daughter's wedding; he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home; but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.|https://image.tmdb.org/t/p/w1280/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg|76594107|0|14|6|41178
6|Heat|1995|en|170|Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.|https://image.tmdb.org/t/p/w1280/umSVjVdbVwtx5ryCA2QXL44Durm.jpg|187436818|60000000|41|8|707930
7|Sabrina|1995|en|127|An ugly duckling having undergone a remarkable change; still harbors feelings for her crush: a carefree playboy; but not before his business-focused brother has something to say about it.|https://image.tmdb.org/t/p/w1280/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg|53672080|58000000|16|6|43975
8|Tom and Huck|1995|en|97|A mischievous young boy; Tom Sawyer; witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn; a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.|https://image.tmdb.org/t/p/w1280/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg|23920048|0|8|5|11523
9|Sudden Death|1995|en|111|When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.|https://image.tmdb.org/t/p/w1280/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg|64350171|35000000|15|5|36667
10|GoldenEye|1995|en|130|When a powerful satellite system falls into the hands of Alec Trevelyan; AKA Agent 006; a former ally-turned-enemy; only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot; he also battles Xenia Onatopp; an assassin who uses pleasure as her ultimate weapon|https://image.tmdb.org/t/p/w1280/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg|352194034|58000000|26|7|268285
11|American President; The|1995|en|114|Widowed U.S. president Andrew Shepherd; one of the world's most powerful men; can have anything he wants -- and what he covets most is Sydney Ellen Wade; a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.|https://image.tmdb.org/t/p/w1280/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg|107879496|62000000|18|6|60136
12|Dracula: Dead and Loving It|1995|en|88|When a lawyer shows up at the vampire's doorstep; he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing; who may be the only one able to vanquish the Count.|https://image.tmdb.org/t/p/w1280/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg|10772144|30000000|24|5|44741
13|Balto|1995|en|78|An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome; Alaska.|https://image.tmdb.org/t/p/w1280/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg|11348324|31000000|15|7|47530
14|Nixon|1995|en|192|A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.|https://image.tmdb.org/t/p/w1280/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg|13681765|44000000|11|7|32466
15|Cutthroat Island|1995|en|124|Morgan Adams and her slave; William Shaw; are on a quest to recover the three portions of a treasure map. Unfortunately; the final portion is held by her murderous uncle; Dawg. Her crew is skeptical of her leadership abilities; so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.|https://image.tmdb.org/t/p/w1280/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg|10017322|98000000|18|5|30181
16|Casino|1995|en|178|In early-1970s Las Vegas; Sam "Ace" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first; he's a great success in the job; but over the years; problems with his loose-cannon enforcer Nicky Santoro; his ex-hustler wife Ginger; her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.|https://image.tmdb.org/t/p/w1280/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg|116112375|50000000|29|8|555873
