companyID,companyName
5000,"""DIA"" Productions GmbH & Co. KG"
5001,(Colossal) Pictures
5002,.406 Production
5003,1.85 Films
5004,100 Bares
5005,101st Street Films
5006,108 Media
5007,10th Hole Productions
5008,11:11 Mediaworks
5009,12 Gauge Productions
5010,120 Films
5011,120dB Films
5012,129 Productions
5013,1492 Pictures
5014,16 Block Productions
5015,1600 Limited Partnership
5016,16:14 Entertainment
5017,1821 Pictures
5018,19 Entertainment
5019,1984 Private Defense Contractors
5020,1992 Number Four Limited Partnership
5021,2 Entertain
5022,2 Loop Films
5023,2.4.7. Films
5024,2003 Productions
5025,2015 PROJECT Lovelive! Movie
5026,20th Century Fox
5027,21 Century Shengkai Film
5028,21 Laps Entertainment
5029,21st Century Film Corporation
5030,22 & Indiana Pictures
5031,23/5 Filmproduktion
5032,235 Films
5033,26 Films
5034,27 Films Production
5035,2929 Productions
5036,2D Celluloid
5037,2DUX²
5038,2S Films
5039,3 Arts Entertainment
5040,3 Dogs & a Pony
5041,3 Miles Apart Productions Ltd.
5042,3 Ring Circus Films
5043,3 in the Box
5044,321 Films
5045,33 Pictures
5046,3311 Productions
5047,33andOut Productions
5048,360 Pictures
5049,38 Productions
5050,391 Productions
5051,3B Productions
5052,3Foot7
5053,3L Filmproduktion GmbH
5054,4 1/2
5055,40 Acres and a Mule Filmworks
5056,403 Productions
5057,415 Project
5058,42 Films
5059,49 Film
5060,49th Parallel Films
5061,4Cows
5062,4DH Films
5063,4Kids Entertainment
5064,4M
5065,4k Films
5066,4th Wall Entertainment
5067,5150 Action
5068,60/80 Productions
5069,61* Productions Inc.
5070,7 Bucks Entertainment
5071,7 Pictures
5072,75 Year Plan Productions
5073,777 Films Corporation
5074,80 Days Productions
5075,8383 Productions
5076,87Eleven
5077,8:38 Productions
5078,9.14 Pictures
5079,900 Films
5080,98 MPH Productions
5081,A
5082,A Band Apart
5083,A Bigger Boat
5084,A Company
5085,A Contracorriente Films
5086,A Grand Elephant
5087,A Hot Dog
5088,A Loopy Production LLC
5089,A Lucky Old Sun Production
5090,A Plus Image
5091,A School Productions
5092,A%26E IndieFilms
5093,A&E IndieFilms
5094,A&F Productions
5095,A&M Films
5096,A+E Studios
5097,A-1 Pictures
5098,A-Film Distribution
5099,A-Film Home Entertainment
5100,A-Line Pictures
5101,A-Mark Entertainment
5102,A-Team
5103,A-Train Films
5104,A. Film Production
5105,A. Ninety-Three Productions
5106,A.C. Lyles Productions
5107,A.G. Films
5108,A.I.E.
5109,A.J. Films
5110,A.J.O.Z. Films
5111,A.M.A. Film
5112,A.N.P.A. (Agence Nationale de Promotion de l'Audiovisuel)
5113,A113
5114,A24
5115,AAMPI Inc.
5116,AAR Films
5117,AB-PT Pictures Corp.
5118,ABKCO Films
5119,ACCI
5120,ADC Films
5121,ADF Acquisitions
5122,ADM Films Department
5123,ADR Productions
5124,AE Two Film Productions
5125,AFPI
5126,AFS Film
5127,AI Film
5128,AIM Group
5129,AITD Productions
5130,AKN Productions
5131,AKOM Production Company
5132,ALEF Film & Media Group
5133,AM Associates
5134,AMBI Group
5135,AMIB Productions
5136,AMLF
5137,AMUSE
5138,ANA Media
5139,APC
5140,APJAC Productions
5141,APPP Company
5142,APT Films
5143,AQS
5144,AR Films
5145,AR-TL
5146,ARD
5147,ARD Degeto
5148,ARMS
5149,ARP Sélection
5150,ARRI Film & TV Services
5151,ARTE
5152,ARTE France Cinéma
5153,ASAF
5154,ASAP Entertainment
5155,ASCII Media Works
5156,ASIG Productions
5157,ASK Kodansha
5158,ASQA Film Partnership
5159,AT-X
5160,ATHANOR
